aX,aY,aZ,gX,gY,gZ
-0.052,0.391,1.272,-56.152,-131.042,-15.259
-0.191,0.621,1.167,-60.791,-150.269,-19.043
-0.319,0.718,1.185,-19.775,-155.212,-7.568
-0.367,0.667,1.300,46.997,-140.503,11.414
-0.341,0.472,1.461,112.793,-113.464,33.875
-0.292,0.258,1.630,155.029,-85.510,51.575
-0.256,0.098,1.765,164.307,-61.829,58.899
-0.243,0.024,1.802,145.203,-44.434,56.702
-0.233,0.029,1.738,109.314,-32.166,46.265
-0.149,0.027,1.656,64.941,-27.954,27.954
-0.072,0.054,1.534,17.151,-31.860,7.446
-0.035,0.163,1.448,-25.208,-41.626,-7.935
-0.063,0.427,1.390,-49.805,-54.565,-14.343
-0.173,0.853,1.422,-34.912,-69.519,-7.385
-0.427,0.689,1.667,36.377,-76.538,10.132
-0.472,0.146,1.825,107.239,-42.358,21.606
-0.152,-0.047,1.764,109.558,18.860,27.771
0.049,-0.050,1.643,69.641,50.720,30.396
0.023,0.008,1.450,21.057,45.898,21.973
-0.031,0.112,1.250,-21.851,32.349,6.653
0.015,0.175,1.105,-52.551,19.531,-9.460
-0.559,0.477,1.786,-29.968,39.978,-11.414
-0.616,0.500,1.913,-14.282,54.138,-9.033
-0.650,0.457,2.126,6.348,67.017,-6.714
-0.746,0.376,2.439,21.973,80.078,-4.517
-0.864,0.320,2.650,23.987,97.046,-3.845
-0.967,0.243,2.778,20.752,122.253,-6.409
-0.991,0.154,2.897,17.273,155.151,-6.042
-0.917,0.058,2.881,12.817,195.190,-0.183
-0.814,-0.026,2.679,3.357,238.831,5.005
-0.696,-0.065,2.404,-17.700,272.888,5.371
-0.579,-0.083,2.113,-49.988,287.231,-1.404
-0.501,0.009,1.807,-86.182,287.598,-13.245
-0.555,0.156,1.635,-103.943,277.039,-23.926
-0.627,0.204,1.616,-94.299,274.719,-24.597
-0.643,0.139,1.540,-72.876,293.457,-16.541
-0.621,0.062,1.422,-61.279,321.655,-8.789
-0.599,-0.043,1.250,-69.031,342.407,-7.019
-0.577,-0.115,0.998,-93.811,354.675,-12.268
-0.543,-0.105,0.758,-126.343,358.459,-21.545
-0.510,-0.098,0.549,-152.649,355.896,-31.006
-0.487,-0.015,0.308,-170.837,349.670,-39.612
-0.517,0.069,0.233,-177.979,335.754,-48.889
-0.601,0.014,0.246,-172.974,320.862,-57.129
-0.595,-0.072,0.156,-169.678,322.449,-63.721
-0.578,-0.061,0.009,-174.988,337.036,-68.298
-0.595,-0.118,-0.183,-174.500,350.830,-68.359
-0.466,-0.222,-0.377,-171.021,357.727,-67.566
-0.308,-0.235,-0.594,-174.683,356.201,-71.960
-0.209,-0.265,-0.697,-174.316,339.355,-76.111
-0.104,-0.375,-0.740,-170.410,313.904,-80.139
-0.062,-0.497,-0.785,-177.856,288.452,-87.463
-0.027,-0.454,-0.942,-196.411,268.433,-94.788
0.022,-0.361,-1.246,-206.848,257.324,-99.731
0.106,-0.320,-1.638,-193.420,258.118,-99.487
0.272,-0.449,-2.139,-161.072,267.578,-94.604
0.490,-0.769,-2.692,-120.422,279.602,-79.773
0.852,-0.992,-3.221,-84.290,282.410,-57.800
1.311,-1.027,-3.556,-55.420,258.301,-32.532
