aX,aY,aZ,gX,gY,gZ
-0.712,0.509,0.574,-18.494,7.019,14.404
-0.715,0.501,0.555,-18.250,8.911,13.428
-0.719,0.492,0.547,-16.113,10.010,12.939
-0.727,0.480,0.547,-12.634,9.521,12.451
-0.743,0.463,0.561,-8.972,8.240,11.963
-0.755,0.450,0.577,-5.859,6.348,11.292
-0.764,0.445,0.593,-4.089,4.150,10.315
-0.767,0.440,0.615,-2.930,1.892,9.521
-0.764,0.435,0.624,-3.296,-0.244,9.094
-0.760,0.430,0.621,-5.127,-1.709,7.812
-0.750,0.426,0.601,-7.385,-1.892,5.859
0.622,1.240,1.837,190.552,140.198,-64.453
0.611,1.369,2.204,171.631,135.437,-44.189
0.565,1.499,2.531,148.865,134.338,-27.649
0.483,1.670,2.732,119.995,132.263,-18.677
0.393,1.834,2.816,87.280,128.479,-13.550
0.317,1.982,2.736,51.086,123.474,-7.629
0.255,2.072,2.587,16.907,117.249,0.610
0.242,2.131,2.391,-11.902,111.145,10.742
0.250,2.170,2.200,-35.583,105.347,23.926
0.256,2.128,2.070,-52.979,100.891,43.091
0.239,2.007,1.982,-65.186,96.008,68.420
0.168,1.831,1.908,-74.707,89.844,95.703
0.035,1.574,1.879,-81.238,84.473,122.253
-0.104,1.312,1.864,-87.402,80.261,145.142
-0.206,1.069,1.840,-95.093,76.294,161.438
-0.262,0.831,1.809,-103.638,71.350,172.302
-0.290,0.625,1.768,-112.000,64.941,179.687
-0.312,0.436,1.722,-118.652,58.350,185.059
-0.374,0.250,1.696,-121.704,52.612,190.796
-0.480,0.034,1.701,-121.338,48.340,197.449
-0.584,-0.165,1.715,-118.774,43.335,201.294
-0.659,-0.327,1.733,-115.845,35.400,199.158
-0.731,-0.458,1.719,-111.816,25.452,193.604
-0.869,-0.589,1.737,-106.445,13.611,188.843
-1.030,-0.734,1.721,-101.379,-2.380,183.594
-1.140,-0.878,1.710,-92.346,-13.000,174.866
-1.242,-0.973,1.698,-82.886,-23.987,162.964
-1.313,-1.056,1.679,-75.317,-39.612,148.499
-1.336,-1.130,1.647,-68.787,-57.007,131.287
-1.313,-1.178,1.595,-62.134,-72.632,112.854
-1.268,-1.209,1.526,-54.504,-83.679,94.788
-1.222,-1.220,1.460,-45.776,-90.149,77.637
-1.171,-1.213,1.400,-37.598,-92.896,60.608
-1.110,-1.205,1.347,-30.029,-91.980,43.945
-1.075,-1.181,1.292,-23.376,-88.257,28.870
-1.068,-1.168,1.265,-15.747,-83.008,14.771
-1.074,-1.174,1.277,-8.057,-78.491,0.916
-1.085,-1.168,1.303,-0.488,-77.515,-13.000
-1.093,-1.151,1.317,7.935,-79.773,-27.710
-1.102,-1.133,1.324,15.869,-85.266,-41.748
-1.099,-1.103,1.339,23.010,-92.651,-56.152
-1.096,-1.054,1.347,28.137,-101.379,-71.350
-1.094,-0.990,1.321,31.494,-110.474,-86.853
-1.084,-0.932,1.283,35.583,-118.591,-101.624
-1.090,-0.870,1.236,39.368,-126.282,-115.906
-1.088,-0.799,1.181,42.114,-131.470,-129.395
-1.055,-0.726,1.122,44.250,-133.545,-143.616
